1	chr2	162011532	162012505	+
2	chr7	134995250	134996221	+
3	chr13	22076682	22077429	+
4	chr9	21576431	21577037	+
5	chr3	18438493	18439120	+
6	chr3	161349567	161350324	+
7	chr2	162063529	162064159	+
8	chr9	72527015	72527935	+
9	chr1	219235858	219236835	+
10	chr12	117105720	117106398	+
11	chr6	167113853	167114873	+
12	chr5	57117435	57118142	+
13	chr1	212158844	212159578	+
14	chr1	194295363	194296266	+
15	chr11	86805899	86806587	+
16	chr9	86303382	86303979	+
17	chr2	190695636	190696238	+
18	chr5	157030622	157031259	+
19	chr1	84892653	84893646	+
20	chr7	18189318	18190068	+
21	chr9	76023627	76024562	+
22	chr3	27840660	27841313	+
23	chrX	136065026	136065631	+
24	chr11	86486493	86487208	+
25	chr1	67674192	67675118	+
26	chr3	122030314	122031249	+
27	chr2	162073346	162074618	+
28	chr2	172441508	172442322	+
29	chr5	75059682	75060317	+
30	chr15	63446088	63446732	+
31	chr7	17861208	17862008	+
32	chr20	5736908	5738434	+
33	chr11	70353753	70354473	+
34	chr2	113876482	113877210	+
35	chr7	92312939	92313541	+
36	chrX	120696775	120697497	+
37	chr2	28586943	28587497	+
38	chr8	73867516	73868830	+
39	chr2	148524302	148525114	+
40	chr7	134640953	134641583	+
41	chr1	173444743	173445285	+
42	chr11	14074998	14075655	+
43	chr2	227848433	227849239	+
44	chr18	44700497	44701157	+
45	chr10	14507024	14508007	+
46	chr11	86503730	86504617	+
47	chr8	72000290	72000941	+
48	chrX	8987584	8988611	+
49	chr17	66331049	66331869	+
50	chr3	52983129	52984070	+
51	chr22	26474832	26475448	+
52	chr15	90856368	90857146	+
53	chr8	120472247	120472888	+
54	chr5	56829124	56829767	+
55	chr5	126437895	126438815	+
56	chr14	34043735	34044222	+
57	chr14	91193907	91194989	+
58	chr1	197806836	197807488	+
59	chr9	79544215	79544915	+
60	chr3	10603347	10603938	+
61	chr10	69425847	69426366	+
62	chr10	11684366	11685541	+
63	chr5	146890938	146891836	+
64	chr10	43331917	43332731	+
65	chr1	175174618	175175251	+
66	chr1	8969825	8971717	+
67	chr3	133490656	133491529	+
68	chr2	95022419	95023487	+
69	chr5	143205593	143206676	+
70	chr15	39774507	39775144	+
71	chr9	33458423	33459429	+
72	chr2	162059146	162059634	+
73	chr7	20287183	20287798	+
74	chr12	19744684	19745256	+
75	chr12	123931663	123932327	+
76	chr3	71372650	71373526	+
77	chr8	60865235	60865879	+
78	chr4	48127809	48128600	+
79	chr2	207925399	207926427	+
80	chr21	31326505	31327288	+
81	chr5	56479805	56481759	+
82	chr9	5671700	5672541	+
83	chr1	194289536	194290116	+
84	chr17	61805994	61806663	+
85	chr20	13230930	13231745	+
86	chr1	84862719	84863417	+
87	chr8	115241302	115241989	+
88	chrX	124641781	124642369	+
89	chr8	120861382	120861963	+
90	chr4	87103525	87104232	+
91	chr5	82356927	82357763	+
92	chr10	45470111	45470884	+
93	chr11	96105327	96106127	+
94	chr9	22052557	22053099	+
95	chr7	24441457	24442686	+
96	chr8	144262028	144262777	+
97	chr3	33848486	33849386	+
98	chr8	73167149	73168831	+
99	chr15	63473489	63474492	+
100	chr17	66673431	66674243	+
101	chr11	115267551	115268384	+
102	chr12	128570130	128570791	+
103	chr6	161076229	161076721	+
104	chr2	134181070	134181601	+
105	chr13	109779042	109779609	+
106	chr5	73693682	73694834	+
107	chr3	144294842	144295867	+
108	chr3	151135532	151136312	+
109	chr11	132718882	132719929	+
110	chr6	166325503	166326711	+
111	chr4	48137889	48139460	+
112	chr5	68441193	68441756	+
113	chr11	6413675	6414210	+
114	chr7	151206831	151207826	+
115	chr2	203252579	203253629	+
116	chr1	225865631	225867060	+
117	chr4	108080755	108081585	+
118	chr10	43293128	43294744	+
119	chr8	144402447	144403472	+
120	chr1	181396099	181396743	+
121	chr2	36834831	36835479	+
122	chr12	28777747	28778333	+
123	chr11	44870376	44870969	+
124	chr2	227826207	227827082	+
125	chr4	136650772	136651625	+
126	chr3	195609051	195609762	+
127	chr13	21289475	21290931	+
128	chr1	116345572	116346269	+
129	chr3	15745175	15745643	+
130	chr6	137722714	137723304	+
131	chr11	94473151	94473927	+
132	chrX	78333439	78334041	+
133	chr4	121776413	121777864	+
134	chr3	126607080	126607822	+
135	chr6	75551499	75552068	+
136	chr11	134027564	134028172	+
137	chr3	60064520	60065690	+
138	chr13	77740303	77741560	+
139	chr3	31212845	31214339	+
140	chr5	134079533	134080545	+
141	chr1	239501662	239502272	+
142	chr21	43275584	43276284	+
143	chr5	137737388	137738066	+
144	chr1	89040811	89041552	+
145	chr2	105143573	105144451	+
146	chr9	33415280	33416072	+
147	chr5	133170488	133171302	+
148	chr3	13866236	13867153	+
149	chr7	96685476	96686585	+
150	chr19	55276425	55277034	+
151	chr6	152624964	152625925	+
152	chr7	151381326	151382427	+
153	chr11	46331210	46331720	+
154	chr7	37657076	37658139	+
155	chr3	126612666	126614062	+
156	chr7	17772833	17773473	+
157	chr6	5506854	5507744	+
158	chr5	107296016	107296863	+
159	chr11	9510025	9511997	+
160	chr11	129853619	129854507	+
161	chr2	201420053	201420679	+
162	chr21	31354400	31355253	+
163	chr6	75824211	75824817	+
164	chr2	130588683	130589582	+
165	chr5	87282332	87282918	+
166	chr3	188170374	188170993	+
167	chr17	66667304	66667962	+
168	chr20	13220314	13222121	+
169	chr3	151276239	151277047	+
170	chr18	13538892	13539506	+
171	chr6	117655247	117655806	+
172	chr16	78794573	78795317	+
173	chr8	134324557	134325143	+
174	chr17	66374213	66374799	+
175	chr8	128076636	128077302	+
176	chr7	127322310	127323027	+
177	chr14	32101849	32102792	+
178	chr8	125729374	125730304	+
179	chr14	68967982	68968479	+
180	chr4	108036216	108036734	+
181	chr3	128294987	128295799	+
182	chr11	47234229	47235448	+
183	chr7	23373069	23373931	+
184	chr11	13962454	13964221	+
185	chr6	157892455	157893629	+
186	chr5	148887199	148887911	+
187	chr10	73932092	73932971	+
188	chr4	94214624	94215420	+
189	chr3	88141942	88142618	+
190	chr4	98688513	98689794	+
191	chr21	31397715	31398704	+
192	chr2	36800274	36801237	+
193	chr6	118719101	118720038	+
194	chr10	116723662	116724263	+
195	chr2	46304496	46305074	+
196	chr4	168907271	168907966	+
197	chr20	49661506	49662395	+
198	chr4	108072023	108072858	+
199	chr12	52558847	52559835	+
200	chr6	157884803	157886081	+
201	chr2	100234984	100235795	+
202	chr14	33950189	33951243	+
203	chr1	84854078	84854912	+
204	chrX	37912333	37912905	+
